,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
162,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
163,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
164,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
165,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
166,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
167,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
168,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
169,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
170,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
171,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
172,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
173,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
174,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
175,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
176,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
177,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
178,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
179,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
180,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
181,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
182,-1.3765978,-0.6523766,-0.35343724,-0.017701328,0.04738622,-0.07723245,-0.008029022
183,-1.1817209,-0.67821306,-0.3027409,-0.023101073,0.014254587,-0.07423532,-0.0073161633
184,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
185,-0.012460926,-0.8332312,0.0014375701,-0.05549939,-0.18453535,-0.056252535,-0.0030389454
186,0.5192149,-0.5864742,-0.30720595,-0.17959829,0.15143162,-0.0009652148,-0.014188337
187,1.5825669,-0.09296025,-0.92449313,-0.42779619,0.8233656,0.10960944,-0.03648712
188,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
189,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
190,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
